Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
1,Nabil Aberdin,fr FRA,DF,Getafe,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
2,Abner,br BRA,DF,Real Betis,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,la_liga,2023-2024
3,Abdel Abqar,ma MAR,DF,Alavés,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
4,Marcos Acuña,ar ARG,"DF,MF",Sevilla,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.07,0.14,0.21,0.07,0.21,la_liga,2023-2024
5,Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
6,Lucien Agoume,fr FRA,MF,Sevilla,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
8,Ilias Akhomach,ma MAR,MF,Villarreal,19,2004,31,17,1511,16.8,2,2,4,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24,la_liga,2023-2024
9,Sergio Akieme,es ESP,"DF,MF",Almería,25,1997,19,19,1675,18.6,2,0,2,2,0,0,2,0,0.11,0.0,0.11,0.11,0.11,la_liga,2023-2024
10,Paul Akouokou,ci CIV,MF,Real Betis,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
11,David Alaba,at AUT,DF,Real Madrid,31,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,la_liga,2023-2024
12,Raúl Albiol,es ESP,DF,Villarreal,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,la_liga,2023-2024
13,Rubén Alcaraz,es ESP,MF,Cádiz,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,0.09,0.03,0.11,0.03,0.06,la_liga,2023-2024
14,Omar Alderete,py PAR,DF,Getafe,26,1996,31,24,2195,24.4,0,1,1,0,0,0,8,1,0.0,0.04,0.04,0.0,0.04,la_liga,2023-2024
15,Iván Alejo,es ESP,MF,Cádiz,28,1995,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.0,0.11,0.11,0.0,0.11,la_liga,2023-2024
16,Carles Aleñá,es ESP,MF,Getafe,25,1998,29,10,1020,11.3,1,1,2,1,0,0,6,0,0.09,0.09,0.18,0.09,0.18,la_liga,2023-2024
17,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
18,Tadeo Allende,ar ARG,MF,Celta Vigo,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,0.27,0.0,0.27,0.27,0.27,la_liga,2023-2024
19,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,la_liga,2023-2024
20,Marcos Alonso,es ESP,DF,Barcelona,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
21,Adrià Altimira,es ESP,"DF,MF",Villarreal,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
22,Sergi Altimira,es ESP,MF,Real Betis,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,la_liga,2023-2024
23,Gastón Álvarez,uy URU,DF,Getafe,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.07,0.0,0.07,0.07,0.07,la_liga,2023-2024
24,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,la_liga,2023-2024
25,Yeray Álvarez,es ESP,DF,Athletic Club,28,1995,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
26,Selim Amallah,ma MAR,"MF,FW",Valencia,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.0,0.15,0.15,0.0,0.15,la_liga,2023-2024
27,Amath,sn SEN,"FW,MF",Mallorca,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
28,Miguel Ángel Rubio,es ESP,DF,Granada,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,la_liga,2023-2024
29,Fabrizio Angileri,ar ARG,DF,Getafe,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
30,Mauro Arambarri,uy URU,MF,Getafe,27,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
31,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,21,2002,11,5,543,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
32,Julian Araujo,mx MEX,DF,Las Palmas,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,la_liga,2023-2024
33,Ronald Araújo,uy URU,DF,Barcelona,24,1999,25,21,1997,22.2,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,la_liga,2023-2024
34,Adu Ares,es ESP,MF,Athletic Club,21,2001,12,2,265,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
35,Jesús Areso,es ESP,"DF,MF",Osasuna,24,1999,37,29,2660,29.6,1,6,7,1,0,0,3,0,0.03,0.2,0.24,0.03,0.24,la_liga,2023-2024
36,Matias Arezo,uy URU,FW,Granada,20,2002,14,3,369,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
37,Iñigo Arguibide,es ESP,FW,Osasuna,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
38,José Arnaiz,es ESP,"FW,MF",Osasuna,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,0.19,0.1,0.29,0.19,0.29,la_liga,2023-2024
39,Sergio Arribas,es ESP,"MF,FW",Almería,21,2001,34,22,2047,22.7,9,4,13,9,0,0,1,0,0.4,0.18,0.57,0.4,0.57,la_liga,2023-2024
40,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,14,13,1198,13.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
41,Iago Aspas,es ESP,FW,Celta Vigo,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,0.3,0.33,0.63,0.2,0.53,la_liga,2023-2024
42,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,0.1,0.31,0.42,0.1,0.42,la_liga,2023-2024
43,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,29,1994,6,4,298,3.3,1,0,1,1,0,0,4,1,0.3,0.0,0.3,0.3,0.3,la_liga,2023-2024
44,César Azpilicueta,es ESP,"DF,MF",Atlético Madrid,33,1989,25,14,1423,15.8,0,2,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,la_liga,2023-2024
45,Iddrisu Baba,gh GHA,MF,Almería,27,1996,25,14,1430,15.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
46,Srđan Babić,rs SRB,DF,Almería,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
47,Loïc Bade,fr FRA,DF,Sevilla,23,2000,28,27,2277,25.3,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,la_liga,2023-2024
48,Alex Baena,es ESP,"MF,FW",Villarreal,22,2001,34,33,2579,28.7,2,14,16,2,0,1,11,1,0.07,0.49,0.56,0.07,0.56,la_liga,2023-2024
49,Eric Bailly,ci CIV,DF,Villarreal,29,1994,10,9,839,9.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
50,Cédric Bakambu,cd COD,FW,Real Betis,32,1991,4,2,194,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
51,Alejandro Balde,es ESP,"DF,MF",Barcelona,19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,la_liga,2023-2024
52,Iván Balliu,al ALB,DF,Rayo Vallecano,31,1992,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.0,0.03,0.03,0.0,0.03,la_liga,2023-2024
53,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,27,1996,27,24,1981,22.0,3,2,5,3,0,0,0,0,0.14,0.09,0.23,0.14,0.23,la_liga,2023-2024
54,Léo Baptistão,br BRA,"FW,MF",Almería,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,0.29,0.0,0.29,0.29,0.29,la_liga,2023-2024
55,Kike Barja,es ESP,"FW,MF",Osasuna,26,1997,16,3,303,3.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
56,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,21,2001,29,20,1427,15.9,4,1,5,4,0,0,1,0,0.25,0.06,0.32,0.25,0.32,la_liga,2023-2024
57,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,24,17,1555,17.3,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,la_liga,2023-2024
58,Marc Bartra,es ESP,DF,Real Betis,32,1991,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
59,Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
60,Bebé,cv CPV,"FW,MF",Rayo Vallecano,33,1990,19,0,212,2.4,2,0,2,1,1,1,1,0,0.85,0.0,0.85,0.42,0.42,la_liga,2023-2024
61,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,28,1995,15,8,771,8.6,2,2,4,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,la_liga,2023-2024
62,Héctor Bellerín,es ESP,DF,Real Betis,28,1995,23,20,1711,19.0,0,1,1,0,0,0,0,1,0.0,0.05,0.05,0.0,0.05,la_liga,2023-2024
63,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,0.74,0.23,0.97,0.7,0.93,la_liga,2023-2024
64,Fran Beltrán,es ESP,MF,Celta Vigo,24,1999,33,28,2428,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,la_liga,2023-2024
65,Carlos Benavídez,uy URU,MF,Alavés,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,la_liga,2023-2024
66,Yuri Berchiche,es ESP,DF,Athletic Club,33,1990,27,22,1930,21.4,3,1,4,3,0,0,5,0,0.14,0.05,0.19,0.14,0.19,la_liga,2023-2024
