Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Max Aarons,eng ENG,DF,Valencia,24.0,2000.0,4,120.0,30.0,3.5,1.3,1,73.0,0,3,16.0,14,0.75,1.0,3.0,-2.0,-1.5,-1.28,la_liga,2024-2025
2,Álvaro Abajas,es ESP,GK,Leganés,21.0,2003.0,0,,,,,0,,0,0,,33,,,,,,,la_liga,2024-2025
3,Rodrigo Abajas,es ESP,DF,Valencia,21.0,2003.0,1,65.0,65.0,1.9,0.7,1,65.0,0,0,,8,0.0,1.0,2.0,-1.0,-1.38,-1.14,la_liga,2024-2025
4,Jones El-Abdellaoui,ma MAR,FW,Celta Vigo,18.0,2006.0,0,,,,,0,,0,0,,9,,,,,,,la_liga,2024-2025
5,Nabil Aberdin,fr FRA,MF,Getafe,21.0,2002.0,7,263.0,38.0,7.7,2.9,4,63.0,1,3,4.0,7,1.14,1.0,2.0,-1.0,-0.34,-0.23,la_liga,2024-2025
6,Abdel Abqar,ma MAR,DF,Alavés,25.0,1999.0,29,2463.0,85.0,72.0,27.4,29,85.0,24,0,,0,1.03,30.0,41.0,-11.0,-0.4,-0.5,la_liga,2024-2025
7,Vicent Abril,es ESP,GK,Valencia,19.0,2005.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
8,Álvaro Aceves,es ESP,GK,Valladolid,21.0,2003.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
9,Akor Adams,ng NGA,FW,Sevilla,24.0,2000.0,4,134.0,34.0,3.9,1.5,1,90.0,1,3,15.0,0,0.25,1.0,3.0,-2.0,-1.34,-1.04,la_liga,2024-2025
10,Adrián,es ESP,GK,Real Betis,37.0,1987.0,19,1710.0,90.0,50.0,19.0,19,90.0,19,0,,17,1.95,39.0,27.0,12.0,0.63,0.89,la_liga,2024-2025
11,Julen Agirrezabala,es ESP,GK,Athletic Club,23.0,2000.0,14,1206.0,86.0,35.3,13.4,14,86.0,12,0,,22,2.21,22.0,9.0,13.0,0.97,0.48,la_liga,2024-2025
12,Lucien Agoume,fr FRA,MF,Sevilla,22.0,2002.0,35,2114.0,60.0,61.8,23.5,24,84.0,14,11,10.0,1,1.09,26.0,39.0,-13.0,-0.55,-0.55,la_liga,2024-2025
13,Álvaro Aguado,es ESP,MF,Espanyol,28.0,1996.0,16,443.0,28.0,13.0,4.9,4,71.0,0,12,13.0,20,0.94,6.0,7.0,-1.0,-0.2,0.1,la_liga,2024-2025
14,Diego Aguado,es ESP,DF,Real Madrid,17.0,2007.0,0,,,,,0,,0,0,,4,,,,,,,la_liga,2024-2025
15,Lorenzo Aguado,es ESP,DF,Real Madrid,21.0,2002.0,2,5.0,3.0,0.1,0.1,0,,0,2,3.0,6,3.0,0.0,0.0,0.0,0.0,-1.05,la_liga,2024-2025
16,Nayef Aguerd,ma MAR,DF,Real Sociedad,28.0,1996.0,21,1760.0,84.0,51.5,19.6,21,84.0,17,0,,3,1.48,18.0,15.0,3.0,0.15,0.91,la_liga,2024-2025
17,Lalo Aguilar,es ESP,DF,Leganés,22.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
18,Joseph Aidoo,gh GHA,DF,Valladolid,28.0,1995.0,8,583.0,73.0,17.0,6.5,6,78.0,4,2,57.0,1,0.0,6.0,25.0,-19.0,-2.93,-1.51,la_liga,2024-2025
19,Joseph Aidoo,gh GHA,DF,Celta Vigo,28.0,1995.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,13,3.0,1.0,0.0,1.0,45.0,44.97,la_liga,2024-2025
20,Ilias Akhomach,ma MAR,MF,Villarreal,20.0,2004.0,11,584.0,53.0,17.1,6.5,7,69.0,0,4,25.0,1,1.91,8.0,7.0,1.0,0.15,-0.45,la_liga,2024-2025
21,David Alaba,at AUT,DF,Real Madrid,32.0,1992.0,7,317.0,45.0,9.3,3.5,4,66.0,1,3,17.0,5,2.14,6.0,4.0,2.0,0.57,-0.53,la_liga,2024-2025
22,Ibrahim Alani,ng NGA,MF,Valladolid,18.0,2006.0,3,160.0,53.0,4.7,1.8,1,90.0,1,2,35.0,0,0.0,0.0,4.0,-4.0,-2.25,-0.59,la_liga,2024-2025
23,Raúl Albiol,es ESP,DF,Villarreal,38.0,1985.0,15,1188.0,79.0,34.7,13.2,14,84.0,12,1,6.0,13,1.73,26.0,20.0,6.0,0.45,-0.11,la_liga,2024-2025
24,Alcázar,es ESP,DF,Real Betis,22.0,2002.0,0,,,,,0,,0,0,,5,,,,,,,la_liga,2024-2025
25,Omar Alderete,py PAR,DF,Getafe,27.0,1996.0,34,2971.0,87.0,86.9,33.0,34,87.0,27,0,,0,1.21,32.0,35.0,-3.0,-0.09,0.31,la_liga,2024-2025
26,Pedro Alemañ,es ESP,MF,Valencia,22.0,2002.0,0,,,,,0,,0,0,,3,,,,,,,la_liga,2024-2025
27,Carles Aleñá,es ESP,MF,Getafe,26.0,1998.0,10,452.0,45.0,13.2,5.0,5,67.0,0,5,23.0,7,0.8,2.0,4.0,-2.0,-0.4,-0.31,la_liga,2024-2025
28,Carles Aleñá,es ESP,MF,Alavés,26.0,1998.0,14,1090.0,78.0,31.9,12.1,13,82.0,5,1,18.0,1,1.29,11.0,12.0,-1.0,-0.08,0.27,la_liga,2024-2025
29,Alfon,es ESP,"FW,MF",Celta Vigo,25.0,1999.0,26,1371.0,53.0,40.1,15.2,14,76.0,4,12,26.0,9,1.19,24.0,26.0,-2.0,-0.13,-0.31,la_liga,2024-2025
30,Tadeo Allende,ar ARG,MF,Celta Vigo,25.0,1999.0,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,7,1.5,0.0,1.0,-1.0,-45.0,-45.08,la_liga,2024-2025
31,Alex Almansa,es ESP,FW,Espanyol,20.0,2003.0,0,,,,,0,,0,0,,3,,,,,,,la_liga,2024-2025
32,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24.0,2000.0,34,1977.0,58.0,57.8,22.0,24,73.0,4,10,21.0,2,1.32,27.0,29.0,-2.0,-0.09,0.41,la_liga,2024-2025
33,Iker Almena,es ESP,MF,Girona,20.0,2004.0,2,48.0,24.0,1.4,0.5,0,,0,2,24.0,0,0.5,1.0,1.0,0.0,0.0,0.43,la_liga,2024-2025
34,Marcos Alonso,es ESP,DF,Celta Vigo,33.0,1990.0,31,2647.0,85.0,77.4,29.4,29,88.0,25,2,51.0,0,1.48,41.0,39.0,2.0,0.07,0.07,la_liga,2024-2025
35,Adrià Altimira,es ESP,"DF,MF",Leganés,23.0,2001.0,22,1630.0,74.0,47.7,18.1,19,79.0,11,3,43.0,14,1.18,18.0,26.0,-8.0,-0.44,0.01,la_liga,2024-2025
36,Sergi Altimira,es ESP,MF,Real Betis,22.0,2001.0,32,1972.0,62.0,57.7,21.9,22,77.0,9,10,27.0,6,1.63,32.0,33.0,-1.0,-0.05,-0.54,la_liga,2024-2025
37,Hugo Álvarez,es ESP,MF,Celta Vigo,21.0,2003.0,26,1572.0,60.0,46.0,17.5,16,80.0,9,10,29.0,8,1.31,30.0,27.0,3.0,0.17,0.22,la_liga,2024-2025
38,Iker Álvarez,ad AND,GK,Villarreal,23.0,2001.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
39,Julián Álvarez,ar ARG,FW,Atlético Madrid,24.0,2000.0,37,2509.0,68.0,73.4,27.9,30,77.0,12,7,29.0,0,1.97,47.0,17.0,30.0,1.08,0.29,la_liga,2024-2025
40,Yeray Álvarez,es ESP,DF,Athletic Club,29.0,1995.0,21,1781.0,85.0,52.1,19.8,20,89.0,19,1,2.0,9,1.9,20.0,11.0,9.0,0.45,-0.42,la_liga,2024-2025
41,Selim Amallah,ma MAR,MF,Valladolid,27.0,1996.0,24,1376.0,57.0,40.2,15.3,18,67.0,2,6,29.0,7,0.38,10.0,34.0,-24.0,-1.57,0.19,la_liga,2024-2025
42,Amath,sn SEN,"FW,MF",Valladolid,28.0,1996.0,13,375.0,29.0,11.0,4.2,5,57.0,0,8,11.0,18,0.54,2.0,6.0,-4.0,-0.96,0.81,la_liga,2024-2025
43,Marcos André,br BRA,FW,Valladolid,27.0,1996.0,22,1188.0,54.0,34.7,13.2,14,75.0,2,8,17.0,13,0.41,11.0,32.0,-21.0,-1.59,0.14,la_liga,2024-2025
44,Aleksandar Andreev,bg BUL,GK,Girona,18.0,2006.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
45,Leandro Antonetti,pr PUR,FW,Sevilla,21.0,2003.0,2,28.0,14.0,0.8,0.3,0,,0,2,14.0,6,2.0,0.0,0.0,0.0,0.0,0.34,la_liga,2024-2025
46,Antoniu,es ESP,MF,Espanyol,21.0,2002.0,26,1022.0,39.0,29.9,11.4,13,61.0,0,13,17.0,9,1.08,14.0,10.0,4.0,0.35,0.92,la_liga,2024-2025
47,Antony,br BRA,MF,Real Betis,24.0,2000.0,17,1362.0,80.0,39.8,15.1,15,85.0,10,2,40.0,0,1.88,34.0,20.0,14.0,0.93,1.23,la_liga,2024-2025
48,Anuar,ma MAR,"MF,FW",Valladolid,29.0,1995.0,26,1720.0,66.0,50.3,19.1,21,76.0,8,5,25.0,2,0.42,12.0,39.0,-27.0,-1.41,0.55,la_liga,2024-2025
49,Aritz Arambarri,es ESP,DF,Leganés,26.0,1998.0,2,177.0,89.0,5.2,2.0,2,89.0,1,0,,1,2.0,3.0,2.0,1.0,0.51,1.01,la_liga,2024-2025
50,Mauro Arambarri,uy URU,MF,Getafe,28.0,1995.0,35,2661.0,76.0,77.8,29.6,31,83.0,23,4,23.0,0,1.11,29.0,32.0,-3.0,-0.1,0.14,la_liga,2024-2025
51,Jon Aramburu,ve VEN,DF,Real Sociedad,22.0,2002.0,35,2460.0,70.0,71.9,27.3,28,83.0,19,7,20.0,2,1.31,26.0,35.0,-9.0,-0.33,-0.14,la_liga,2024-2025
52,Egoitz Arana,es ESP,GK,Real Sociedad,22.0,2002.0,0,,,,,0,,0,0,,6,,,,,,,la_liga,2024-2025
53,Ronald Araújo,uy URU,DF,Barcelona,25.0,1999.0,12,754.0,63.0,22.0,8.4,11,68.0,5,1,5.0,7,2.69,22.0,8.0,14.0,1.67,0.02,la_liga,2024-2025
54,Matías Árbol,es ESP,GK,Sevilla,21.0,2002.0,0,,,,,0,,0,0,,10,,,,,,,la_liga,2024-2025
55,Adu Ares,es ESP,MF,Athletic Club,22.0,2001.0,1,19.0,19.0,0.6,0.2,0,,0,1,19.0,2,0.0,0.0,1.0,-1.0,-4.74,-5.42,la_liga,2024-2025
56,Jesús Areso,es ESP,DF,Osasuna,25.0,1999.0,36,3079.0,86.0,90.0,34.2,35,87.0,24,1,28.0,1,1.44,47.0,43.0,4.0,0.12,2.23,la_liga,2024-2025
57,David Argüelles,es ESP,DF,Getafe,22.0,2002.0,1,7.0,7.0,0.2,0.1,0,,0,1,7.0,13,1.0,1.0,0.0,1.0,12.86,13.02,la_liga,2024-2025
58,Iñigo Arguibide,es ESP,FW,Osasuna,19.0,2005.0,0,,,,,0,,0,0,,2,,,,,,,la_liga,2024-2025
59,José Arnaiz,es ESP,MF,Osasuna,29.0,1995.0,15,133.0,9.0,3.9,1.5,1,45.0,0,14,6.0,18,0.6,2.0,3.0,-1.0,-0.68,-0.59,la_liga,2024-2025
60,Sergio Arribas,es ESP,DF,Real Betis,21.0,2003.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,0.84,la_liga,2024-2025
61,Ricard Artero,es ESP,MF,Girona,21.0,2003.0,0,,,,,0,,0,0,,3,,,,,,,la_liga,2024-2025
62,Takuma Asano,jp JPN,"MF,FW",Mallorca,29.0,1994.0,21,1054.0,50.0,30.8,11.7,13,67.0,0,8,23.0,2,1.14,14.0,13.0,1.0,0.09,0.47,la_liga,2024-2025
63,Raúl Asencio,es ESP,DF,Real Madrid,21.0,2003.0,23,1670.0,73.0,48.8,18.6,18,84.0,13,5,32.0,3,2.43,37.0,16.0,21.0,1.13,0.15,la_liga,2024-2025
64,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36.0,1987.0,30,1745.0,58.0,51.0,19.4,19,78.0,8,11,23.0,3,1.5,30.0,27.0,3.0,0.15,0.21,la_liga,2024-2025
65,Yaser Asprilla,co COL,"MF,FW",Girona,20.0,2003.0,27,1405.0,52.0,41.1,15.6,15,76.0,6,12,22.0,3,1.0,17.0,28.0,-11.0,-0.7,-0.48,la_liga,2024-2025
66,Ander Astralaga,es ESP,GK,Barcelona,20.0,2004.0,0,,,,,0,,0,0,,16,,,,,,,la_liga,2024-2025
67,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,30.0,1994.0,19,677.0,36.0,19.8,7.5,6,62.0,1,13,23.0,5,1.63,9.0,7.0,2.0,0.27,0.1,la_liga,2024-2025
68,Adam Aznou,ma MAR,"DF,MF",Valladolid,18.0,2006.0,13,876.0,67.0,25.6,9.7,10,79.0,7,3,29.0,2,0.08,7.0,23.0,-16.0,-1.64,0.05,la_liga,2024-2025
69,César Azpilicueta,es ESP,DF,Atlético Madrid,34.0,1989.0,14,875.0,63.0,25.6,9.7,10,75.0,5,4,32.0,16,1.8,18.0,8.0,10.0,1.03,0.04,la_liga,2024-2025
70,Papa Ba,es ESP,FW,Girona,19.0,2004.0,1,48.0,48.0,1.4,0.5,0,,0,1,48.0,2,0.0,0.0,0.0,0.0,0.0,0.43,la_liga,2024-2025
71,Iker Bachiller,es ESP,DF,Leganés,21.0,2002.0,0,,,,,0,,0,0,,13,,,,,,,la_liga,2024-2025
72,Loïc Bade,fr FRA,DF,Sevilla,24.0,2000.0,32,2686.0,84.0,78.5,29.8,31,86.0,29,1,21.0,1,1.06,31.0,40.0,-9.0,-0.3,0.19,la_liga,2024-2025
73,Alex Baena,es ESP,"MF,FW",Villarreal,23.0,2001.0,32,2595.0,81.0,75.9,28.8,30,84.0,16,2,33.0,0,1.91,59.0,36.0,23.0,0.8,1.12,la_liga,2024-2025
74,Eric Bailly,ci CIV,DF,Villarreal,30.0,1994.0,12,617.0,51.0,18.0,6.9,8,67.0,3,4,20.0,20,1.67,11.0,14.0,-3.0,-0.44,-1.18,la_liga,2024-2025
75,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19.0,2004.0,14,969.0,69.0,28.3,10.8,12,75.0,3,2,35.0,1,0.64,7.0,17.0,-10.0,-0.93,-0.52,la_liga,2024-2025
76,Cédric Bakambu,cd COD,FW,Real Betis,33.0,1991.0,25,710.0,28.0,20.8,7.9,6,57.0,0,19,19.0,7,1.46,15.0,8.0,7.0,0.89,0.89,la_liga,2024-2025
77,Jon Balda,es ESP,DF,Real Sociedad,22.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
78,Alejandro Balde,es ESP,DF,Barcelona,20.0,2003.0,32,2284.0,71.0,66.8,25.4,26,81.0,13,6,30.0,3,2.25,66.0,22.0,44.0,1.73,0.23,la_liga,2024-2025
79,Iván Balliu,al ALB,DF,Rayo Vallecano,32.0,1992.0,25,1200.0,48.0,35.1,13.3,12,83.0,9,13,16.0,13,1.72,12.0,12.0,0.0,0.0,0.16,la_liga,2024-2025
